vessel,n,start_utc,end_utc
Aries,8,22-Jun-2021 14:11:56,22-Jun-2021 18:20:38
Aries,9,22-Jun-2021 18:20:38,22-Jun-2021 23:04:05
Aries,10,22-Jun-2021 23:04:05,23-Jun-2021 03:26:02
Aries,11,23-Jun-2021 03:26:02,23-Jun-2021 07:14:18
Aries,12,23-Jun-2021 07:14:18,23-Jun-2021 10:29:44
Aries,13,23-Jun-2021 10:29:44,23-Jun-2021 13:52:43
Aries,14,23-Jun-2021 13:52:43,23-Jun-2021 18:45:52
Aries,15,23-Jun-2021 18:45:52,23-Jun-2021 22:10:54
Aries,16,23-Jun-2021 22:10:54,24-Jun-2021 02:30:44
Aries,17,24-Jun-2021 02:30:44,24-Jun-2021 07:12:16
Aries,18,24-Jun-2021 07:12:16,24-Jun-2021 10:14:50
Aries,19,24-Jun-2021 10:14:50,24-Jun-2021 13:52:05
Aries,20,24-Jun-2021 13:52:05,24-Jun-2021 17:16:39
Aries,22,24-Jun-2021 22:35:02,25-Jun-2021 02:27:58
Aries,23,25-Jun-2021 02:27:58,25-Jun-2021 06:23:38
Aries,24,25-Jun-2021 06:23:38,25-Jun-2021 09:28:45
Aries,25,25-Jun-2021 09:28:45,25-Jun-2021 13:13:16
Aries,26,25-Jun-2021 13:13:16,25-Jun-2021 17:02:00
Aries,27,25-Jun-2021 17:02:00,25-Jun-2021 20:26:47
Aries,28,25-Jun-2021 20:26:47,26-Jun-2021 01:30:39
Aries,29,26-Jun-2021 01:30:39,26-Jun-2021 05:18:25
Aries,30,26-Jun-2021 05:18:25,26-Jun-2021 08:26:10
Aries,31,26-Jun-2021 08:26:10,26-Jun-2021 12:14:25
Aries,32,26-Jun-2021 12:14:25,26-Jun-2021 15:48:53
Aries,49,29-Jun-2021 18:49:29,29-Jun-2021 22:40:14
Aries,50,29-Jun-2021 22:40:14,30-Jun-2021 02:16:25
Aries,51,30-Jun-2021 02:16:25,30-Jun-2021 06:19:15
Aries,52,30-Jun-2021 06:19:15,30-Jun-2021 09:59:14
Aries,53,30-Jun-2021 09:59:14,30-Jun-2021 14:52:29
Aries,54,30-Jun-2021 14:52:29,30-Jun-2021 18:52:57
