vessel,n,start_utc,end_utc
Walton_Smith,5,22-Jun-2021 03:05:51,22-Jun-2021 07:36:48
Walton_Smith,6,22-Jun-2021 07:36:48,22-Jun-2021 10:21:14
Walton_Smith,7,22-Jun-2021 10:21:14,22-Jun-2021 13:59:06
Walton_Smith,8,22-Jun-2021 13:59:06,22-Jun-2021 18:13:37
Walton_Smith,9,22-Jun-2021 18:13:37,22-Jun-2021 22:34:21
Walton_Smith,10,22-Jun-2021 22:34:21,23-Jun-2021 03:29:38
Walton_Smith,11,23-Jun-2021 03:29:38,23-Jun-2021 07:14:59
Walton_Smith,12,23-Jun-2021 07:14:59,23-Jun-2021 10:29:12
Walton_Smith,13,23-Jun-2021 10:29:12,23-Jun-2021 13:53:35
Walton_Smith,14,23-Jun-2021 13:53:35,23-Jun-2021 18:01:40
Walton_Smith,15,23-Jun-2021 18:01:40,23-Jun-2021 22:20:18
Walton_Smith,16,23-Jun-2021 22:20:18,24-Jun-2021 02:32:32
Walton_Smith,17,24-Jun-2021 02:32:32,24-Jun-2021 07:15:19
Walton_Smith,18,24-Jun-2021 07:15:19,24-Jun-2021 10:15:09
Walton_Smith,19,24-Jun-2021 10:15:09,24-Jun-2021 13:52:50
Walton_Smith,20,24-Jun-2021 13:52:50,24-Jun-2021 17:48:57
Walton_Smith,21,24-Jun-2021 17:48:57,24-Jun-2021 22:36:18
Walton_Smith,22,24-Jun-2021 22:36:18,25-Jun-2021 02:29:34
Walton_Smith,23,25-Jun-2021 02:29:34,25-Jun-2021 06:23:36
Walton_Smith,24,25-Jun-2021 06:23:36,25-Jun-2021 09:28:55
Walton_Smith,25,25-Jun-2021 09:28:55,25-Jun-2021 13:18:56
Walton_Smith,26,25-Jun-2021 13:18:56,25-Jun-2021 17:02:39
Walton_Smith,27,25-Jun-2021 17:02:39,25-Jun-2021 20:51:57
Walton_Smith,28,25-Jun-2021 20:51:57,26-Jun-2021 01:17:38
Walton_Smith,29,26-Jun-2021 01:17:38,26-Jun-2021 05:19:59
Walton_Smith,30,26-Jun-2021 05:19:59,26-Jun-2021 08:41:57
Walton_Smith,31,26-Jun-2021 08:41:57,26-Jun-2021 12:16:29
Walton_Smith,32,26-Jun-2021 12:16:29,26-Jun-2021 15:58:52
Walton_Smith,33,27-Jun-2021 01:21:58,27-Jun-2021 07:04:46
Walton_Smith,34,27-Jun-2021 07:04:46,27-Jun-2021 12:09:15
Walton_Smith,35,27-Jun-2021 12:09:15,27-Jun-2021 15:09:18
Walton_Smith,36,27-Jun-2021 15:09:18,27-Jun-2021 18:06:30
Walton_Smith,37,27-Jun-2021 18:06:30,27-Jun-2021 21:45:34
Walton_Smith,38,27-Jun-2021 21:45:34,28-Jun-2021 01:34:30
Walton_Smith,39,28-Jun-2021 01:40:11,28-Jun-2021 05:43:47
Walton_Smith,40,28-Jun-2021 05:43:47,28-Jun-2021 09:31:27
Walton_Smith,41,28-Jun-2021 09:49:40,28-Jun-2021 13:56:14
Walton_Smith,42,28-Jun-2021 13:56:14,28-Jun-2021 18:31:07
Walton_Smith,43,28-Jun-2021 18:31:07,28-Jun-2021 22:24:40
Walton_Smith,44,28-Jun-2021 22:53:34,29-Jun-2021 02:45:48
Walton_Smith,45,29-Jun-2021 02:45:48,29-Jun-2021 06:52:55
Walton_Smith,46,29-Jun-2021 06:52:55,29-Jun-2021 10:54:41
Walton_Smith,47,29-Jun-2021 10:58:53,29-Jun-2021 14:31:23
Walton_Smith,48,29-Jun-2021 14:31:23,29-Jun-2021 18:47:21
Walton_Smith,49,29-Jun-2021 18:57:44,29-Jun-2021 22:41:04
Walton_Smith,50,29-Jun-2021 22:41:04,30-Jun-2021 02:17:07
Walton_Smith,51,30-Jun-2021 02:17:07,30-Jun-2021 06:19:49
Walton_Smith,52,30-Jun-2021 06:19:49,30-Jun-2021 10:07:48
Walton_Smith,53,30-Jun-2021 10:07:48,30-Jun-2021 14:54:30
Walton_Smith,54,30-Jun-2021 14:54:30,30-Jun-2021 19:49:15
