vessel,n,start_utc,end_utc,start_lat,start_lon,end_lat,end_lon
Pelican,1,21-Jun-2021 03:14:04,21-Jun-2021 08:28:48,28.9204,-91.7673,28.6013,-91.8587
Pelican,2,21-Jun-2021 08:28:48,21-Jun-2021 13:52:38,28.6013,-91.8587,28.9246,-91.7662
Pelican,3,21-Jun-2021 13:52:38,21-Jun-2021 19:18:20,28.9246,-91.7662,28.6022,-91.8586
Pelican,4,21-Jun-2021 19:18:20,22-Jun-2021 01:36:05,28.6022,-91.8586,28.8996,-91.7701
Pelican,5,22-Jun-2021 01:36:05,22-Jun-2021 06:03:21,28.8996,-91.7701,28.7496,-91.8132
Walton_Smith,5,22-Jun-2021 03:05:51,22-Jun-2021 07:36:48,28.9355,-91.6985,28.8142,-91.7824
Pelican,6,22-Jun-2021 06:03:21,22-Jun-2021 10:00:33,28.7496,-91.8132,28.8969,-91.7716
Walton_Smith,6,22-Jun-2021 07:36:48,22-Jun-2021 10:21:14,28.8142,-91.7824,28.8989,-91.7619
Pelican,7,22-Jun-2021 10:00:33,22-Jun-2021 14:20:38,28.8969,-91.7716,28.7248,-91.8205
Walton_Smith,7,22-Jun-2021 10:21:14,22-Jun-2021 13:59:06,28.8989,-91.7619,28.7420,-91.8060
Walton_Smith,8,22-Jun-2021 13:59:06,22-Jun-2021 18:13:37,28.7420,-91.8060,28.9013,-91.7568
Aries,8,22-Jun-2021 14:11:56,22-Jun-2021 18:20:38,28.7431,-91.8054,28.9011,-91.7585
Pelican,8,22-Jun-2021 14:20:38,22-Jun-2021 18:37:14,28.7248,-91.8205,28.9078,-91.7724
Walton_Smith,9,22-Jun-2021 18:13:37,22-Jun-2021 22:34:21,28.9013,-91.7568,28.7391,-91.8040
Aries,9,22-Jun-2021 18:20:38,22-Jun-2021 23:04:05,28.9011,-91.7585,28.7406,-91.8033
Pelican,9,22-Jun-2021 18:37:14,22-Jun-2021 22:42:21,28.9078,-91.7724,28.7488,-91.8136
Walton_Smith,10,22-Jun-2021 22:34:21,23-Jun-2021 03:29:38,28.7391,-91.8040,28.9004,-91.7594
Pelican,10,22-Jun-2021 22:42:21,23-Jun-2021 03:29:18,28.7488,-91.8136,28.8967,-91.7731
Aries,10,22-Jun-2021 23:04:05,23-Jun-2021 03:26:02,28.7406,-91.8033,28.8986,-91.7658
Aries,11,23-Jun-2021 03:26:02,23-Jun-2021 07:14:18,28.8986,-91.7658,28.7509,-91.8087
Pelican,11,23-Jun-2021 03:29:18,23-Jun-2021 07:11:00,28.8967,-91.7731,28.7533,-91.8124
Walton_Smith,11,23-Jun-2021 03:29:38,23-Jun-2021 07:14:59,28.9004,-91.7594,28.7484,-91.8036
Pelican,12,23-Jun-2021 07:11:00,23-Jun-2021 10:21:45,28.7533,-91.8124,28.8980,-91.7711
Aries,12,23-Jun-2021 07:14:18,23-Jun-2021 10:29:44,28.7509,-91.8087,28.8985,-91.7656
Walton_Smith,12,23-Jun-2021 07:14:59,23-Jun-2021 10:29:12,28.7484,-91.8036,28.9000,-91.7591
Pelican,13,23-Jun-2021 10:21:45,23-Jun-2021 13:48:46,28.8980,-91.7711,28.7507,-91.8134
Walton_Smith,13,23-Jun-2021 10:29:12,23-Jun-2021 13:53:35,28.9000,-91.7591,28.7470,-91.8043
Aries,13,23-Jun-2021 10:29:44,23-Jun-2021 13:52:43,28.8985,-91.7656,28.7468,-91.8101
Pelican,14,23-Jun-2021 13:48:46,23-Jun-2021 18:01:47,28.7507,-91.8134,28.9091,-91.7772
Aries,14,23-Jun-2021 13:52:43,23-Jun-2021 18:45:52,28.7468,-91.8101,28.8986,-91.7656
Walton_Smith,14,23-Jun-2021 13:53:35,23-Jun-2021 18:01:40,28.7470,-91.8043,28.9000,-91.7633
Walton_Smith,15,23-Jun-2021 18:01:40,23-Jun-2021 22:20:18,28.9000,-91.7633,28.7422,-91.8053
Pelican,15,23-Jun-2021 18:01:47,23-Jun-2021 22:33:30,28.9091,-91.7772,28.7335,-91.8170
Aries,15,23-Jun-2021 18:45:52,23-Jun-2021 22:10:54,28.8986,-91.7656,28.7510,-91.8089
Aries,16,23-Jun-2021 22:10:54,24-Jun-2021 02:30:44,28.7510,-91.8089,28.8987,-91.7659
Walton_Smith,16,23-Jun-2021 22:20:18,24-Jun-2021 02:32:32,28.7422,-91.8053,28.8943,-91.7612
Polly,16,23-Jun-2021 22:30:38,24-Jun-2021 02:37:00,28.7421,-91.8048,28.9004,-91.7630
Pelican,16,23-Jun-2021 22:33:30,24-Jun-2021 02:37:45,28.7335,-91.8170,28.8993,-91.7721
Aries,17,24-Jun-2021 02:30:44,24-Jun-2021 07:12:16,28.8987,-91.7659,28.7510,-91.8089
Walton_Smith,17,24-Jun-2021 02:32:32,24-Jun-2021 07:15:19,28.8943,-91.7612,28.7475,-91.8038
