vessel,n,start_utc,end_utc
Pelican,1,27-Jun-2021 04:09:51,27-Jun-2021 06:10:30
Pelican,2,27-Jun-2021 06:14:28,27-Jun-2021 08:17:45
Pelican,3,27-Jun-2021 08:17:45,27-Jun-2021 09:36:52
Pelican,4,27-Jun-2021 09:37:32,27-Jun-2021 11:31:35
Pelican,5,27-Jun-2021 11:34:14,27-Jun-2021 12:59:17
Pelican,6,27-Jun-2021 13:02:34,27-Jun-2021 14:36:51
Pelican,7,27-Jun-2021 14:36:51,27-Jun-2021 16:23:40
Pelican,8,27-Jun-2021 16:26:18,27-Jun-2021 18:01:54
Pelican,9,27-Jun-2021 18:01:54,27-Jun-2021 19:08:29
Pelican,10,27-Jun-2021 19:08:29,27-Jun-2021 19:51:00
Pelican,11,27-Jun-2021 20:03:13,27-Jun-2021 21:52:00
Pelican,12,27-Jun-2021 21:52:00,27-Jun-2021 23:21:00
Pelican,13,27-Jun-2021 23:21:00,28-Jun-2021 01:01:53
Pelican,14,28-Jun-2021 01:05:10,28-Jun-2021 02:56:36
