vessel,n,start_utc,end_utc
Polly,1,30-Jun-2021 21:23:27,01-Jul-2021 01:03:46
Polly,2,01-Jul-2021 01:03:46,01-Jul-2021 05:07:45
Polly,3,01-Jul-2021 05:08:10,01-Jul-2021 08:31:51
Polly,4,01-Jul-2021 08:31:51,01-Jul-2021 10:53:15
Polly,5,01-Jul-2021 10:53:15,01-Jul-2021 13:03:04
Polly,6,01-Jul-2021 13:03:04,01-Jul-2021 16:14:53
Polly,7,01-Jul-2021 17:06:54,01-Jul-2021 19:16:24
Polly,8,01-Jul-2021 19:16:24,01-Jul-2021 21:26:59
Polly,10,02-Jul-2021 00:06:23,02-Jul-2021 01:30:54
Polly,11,02-Jul-2021 01:30:54,02-Jul-2021 06:39:34
Polly,12,02-Jul-2021 06:39:34,02-Jul-2021 11:48:45
Polly,13,02-Jul-2021 11:48:45,02-Jul-2021 15:14:01
Polly,14,02-Jul-2021 15:14:01,02-Jul-2021 18:44:39
Polly,15,02-Jul-2021 18:44:39,02-Jul-2021 22:44:49
Polly,20,03-Jul-2021 14:22:23,03-Jul-2021 18:15:09
Polly,21,03-Jul-2021 18:15:09,03-Jul-2021 23:37:38
Polly,22,04-Jul-2021 01:26:04,04-Jul-2021 05:43:00
Polly,23,04-Jul-2021 05:43:00,04-Jul-2021 08:17:30
Polly,24,04-Jul-2021 08:17:30,04-Jul-2021 10:52:31
Polly,25,04-Jul-2021 10:52:31,04-Jul-2021 14:34:38
Polly,26,04-Jul-2021 14:34:38,04-Jul-2021 17:49:31
Polly,27,04-Jul-2021 17:49:31,04-Jul-2021 20:59:52
Polly,28,04-Jul-2021 21:48:40,05-Jul-2021 01:13:56
Polly,29,05-Jul-2021 01:13:56,05-Jul-2021 04:02:01
Polly,30,05-Jul-2021 04:02:01,05-Jul-2021 07:10:15
Polly,31,05-Jul-2021 07:10:15,05-Jul-2021 10:52:44
Polly,32,05-Jul-2021 10:52:44,05-Jul-2021 14:58:43
Polly,33,05-Jul-2021 14:58:43,05-Jul-2021 19:34:19
Polly,34,05-Jul-2021 19:34:19,05-Jul-2021 23:20:23
Polly,36,06-Jul-2021 00:59:25,06-Jul-2021 04:13:21
Polly,37,06-Jul-2021 04:13:21,06-Jul-2021 07:26:01
Polly,38,06-Jul-2021 07:26:01,06-Jul-2021 11:03:20
Polly,39,06-Jul-2021 11:03:20,06-Jul-2021 15:02:54
Polly,40,06-Jul-2021 15:02:54,06-Jul-2021 18:59:55
Polly,41,06-Jul-2021 18:59:55,06-Jul-2021 22:49:38
Polly,42,06-Jul-2021 22:49:38,07-Jul-2021 03:54:11
Polly,43,07-Jul-2021 03:54:11,07-Jul-2021 08:21:56
Polly,44,07-Jul-2021 08:21:56,07-Jul-2021 13:16:51
Polly,45,07-Jul-2021 13:16:51,07-Jul-2021 18:28:56
